REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,id
4,8,56,01779807,56,WY,Wyoming,00,G4000,A,251470069067,1864445306,+42.9918024,-107.5419255,1
1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,115883064314,3397122731,+40.9042486,-077.8280624,2
2,3,39,01085497,39,OH,Ohio,00,G4000,A,105828706692,10269012119,+40.4149297,-082.7119975,3
4,8,35,00897535,35,NM,New Mexico,00,G4000,A,314160748240,756659673,+34.4391265,-106.1261511,4
3,5,24,01714934,24,MD,Maryland,00,G4000,A,25141638381,6989579585,+38.9466584,-076.6744939,5
1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677566454,1323668539,+41.5978358,-071.5252895,6
4,9,41,01155107,41,OR,Oregon,00,G4000,A,248607802255,6191433228,+43.9715225,-120.6226269,7
9,0,72,01779808,72,PR,Puerto Rico,00,G4000,A,8867536532,4923745357,+18.2176480,-066.4107992,8
2,3,55,01779806,55,WI,Wisconsin,00,G4000,A,140268064888,29366760483,+44.6284840,-089.7119299,9
2,4,38,01779797,38,ND,North Dakota,00,G4000,A,178711239147,4396568298,+47.4569538,-100.4619304,10
4,8,32,01779793,32,NV,Nevada,00,G4000,A,284331937541,2047761678,+39.3310928,-116.6151469,11
3,5,13,01705317,13,GA,Georgia,00,G4000,A,148959236603,4951196915,+32.6293840,-083.4232125,12
1,2,36,01779796,36,NY,New York,00,G4000,A,122056806947,19239924100,+42.9133974,-075.5962723,13
3,7,05,00068085,05,AR,Arkansas,00,G4000,A,134771261408,2960539257,+34.8955256,-092.4446262,14
2,4,20,00481813,20,KS,Kansas,00,G4000,A,211754095913,1345868930,+38.4985464,-098.3834298,15
2,4,31,01779792,31,NE,Nebraska,00,G4000,A,198973681461,1356219849,+41.5438105,-099.8123253,16
4,8,49,01455989,49,UT,Utah,00,G4000,A,212818329473,7063566754,+39.3349735,-111.6563633,17
4,9,02,01785533,02,AK,Alaska,00,G4000,A,1477953211577,245383480336,+63.3461910,-152.8370679,18
3,6,28,01779790,28,MS,Mississippi,00,G4000,A,121530715928,3907007795,+32.6864655,-089.6561493,19
3,7,40,01102857,40,OK,Oklahoma,00,G4000,A,177660021556,3377212498,+35.5894185,-097.4868683,20
3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62258675601,496845871,+38.6472854,-080.6183274,21
2,3,26,01779789,26,MI,Michigan,00,G4000,A,146435075220,104051765840,+44.8410835,-085.6593197,22
4,8,08,01779779,08,CO,Colorado,00,G4000,A,268431246426,1170101258,+38.9935752,-105.5077737,23
1,2,34,01779795,34,NJ,New Jersey,00,G4000,A,19047341691,3544030209,+40.1072744,-074.6652012,24
3,5,10,01779781,10,DE,Delaware,00,G4000,A,5046703785,1399060967,+38.9935501,-075.4473739,25
4,8,30,00767982,30,MT,Montana,00,G4000,A,376961878670,3869200368,+47.0511771,-109.6348174,26
4,9,53,01779804,53,WA,Washington,00,G4000,A,172119001610,12541835586,+47.4162296,-120.5996231,27
1,1,09,01779780,09,CT,Connecticut,00,G4000,A,12541641427,1815734898,+41.5797842,-072.7466666,28
4,9,06,01779778,06,CA,California,00,G4000,A,403466310059,20501110720,+37.1485730,-119.5406515,29
3,6,21,01779786,21,KY,Kentucky,00,G4000,A,102269141641,2386569692,+37.5336807,-085.2929841,30
1,1,25,00606926,25,MA,Massachusetts,00,G4000,A,20202057805,7133683836,+42.1565196,-071.4895915,31
3,5,12,00294478,12,FL,Florida,00,G4000,A,138887481596,31424168203,+28.4574302,-082.4091478,32
4,8,16,01779783,16,ID,Idaho,00,G4000,A,214044680857,2397887804,+44.3020948,-114.5956254,33
2,4,29,01779791,29,MO,Missouri,00,G4000,A,178039716301,2500563712,+38.3507500,-092.4567826,34
4,9,15,01779782,15,HI,Hawaii,00,G4000,A,16634529975,11678494458,+19.8097670,-155.5061027,35
3,6,01,01779775,01,AL,Alabama,00,G4000,A,131170787086,4596557532,+32.7396323,-086.8434593,36
3,5,45,01779799,45,SC,South Carolina,00,G4000,A,77856841944,5075831885,+33.8741769,-080.8542699,37
1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23187259277,1026959156,+43.6708595,-071.5811278,38
2,4,46,01785534,46,SD,South Dakota,00,G4000,A,196349580075,3379099963,+44.4467957,-100.2381762,39
2,3,17,01779784,17,IL,Illinois,00,G4000,A,143793362385,6202038080,+40.1028754,-089.1526108,40
3,6,47,01325873,47,TN,Tennessee,00,G4000,A,106797885992,2355218865,+35.8585639,-086.3493573,41
2,3,18,00448508,18,IN,Indiana,00,G4000,A,92789193658,1537004191,+39.9030256,-086.2839503,42
2,4,19,01779785,19,IA,Iowa,00,G4000,A,144669296857,1076595005,+42.0700243,-093.4933473,43
4,8,04,01779777,04,AZ,Arizona,00,G4000,A,294207314414,1026196264,+34.2099643,-111.6024010,44
2,4,27,00662849,27,MN,Minnesota,00,G4000,A,206232309199,18930454637,+46.3161343,-094.1994801,45
3,7,22,01629543,22,LA,Louisiana,00,G4000,A,111897594452,23761143266,+30.8577705,-091.8032730,46
3,5,11,01702382,11,DC,District of Columbia,00,G4000,A,158114680,18884970,+38.9041485,-077.0170942,47
3,5,51,01779803,51,VA,Virginia,00,G4000,A,102278849309,8507698663,+37.5222512,-078.6681938,48
3,7,48,01779801,48,TX,Texas,00,G4000,A,676586997978,19074619314,+31.4347032,-099.2818238,49
1,1,50,01779802,50,VT,Vermont,00,G4000,A,23871030489,1035236182,+44.0605475,-072.6733540,50
1,1,23,01779787,23,ME,Maine,00,G4000,A,79882800680,11750312805,+45.3906022,-068.6574869,51
3,5,37,01027616,37,NC,North Carolina,00,G4000,A,125919791207,13471186331,+35.5397100,-079.1308636,52
